c0,c1,c2,c3,c4,c5,label
27.341158719932128,55.21694864529663,89.12928414503885,52.199010302266,52.25616987019879,74.32879161494006,0
29.870550058719747,31.084195128210496,93.28582141836809,73.83650649901566,91.71386733045901,43.33538853398385,1
32.47351931101317,40.6085693791904,95.92511123615637,41.65265559536702,92.72798457144746,72.7819676411305,0
29.307591088323345,59.335106213844114,95.32745616892487,40.68011932315669,68.69935580059563,82.41316007096145,0
29.33097000511473,46.58856532699828,88.55253851201523,29.62287949967936,94.40439068292437,77.09318458871249,0
28.61546656315466,49.381762753106685,92.74243532505845,85.00538406382465,111.26045376725492,53.53300415583789,1
31.0003447894996,46.86006252551769,92.29504570518534,47.11229521029247,55.07762799381639,77.31353830850959,0
28.713586213883616,38.6470455286668,91.15091066581365,91.98971554009829,63.633382689647576,55.96796038353193,1
33.431638186438306,67.84823062455803,89.05746295875115,81.73777705572934,92.00800931869634,47.02796512999646,1
29.83142968667109,45.230908247431216,93.81396097692355,44.232201998167,108.10606633776467,84.613268095508,0
30.785688426016566,68.65823706565183,83.24149879194651,53.00694439241503,51.64082072615791,67.63102941354356,0
29.141736559779524,46.026968955219694,88.62022917253083,81.33131022149485,77.52249168112499,39.67141859564653,1
31.18977310237677,64.22369147463964,90.06761958826755,41.57699836062208,85.5450789803223,80.67307519097201,0
29.88965587736354,45.73559068583136,87.9400659118555,28.804972972353788,56.03165607125473,15.952192229999001,2
31.502800320949177,40.0106680396912,90.97803716668435,21.621061594717606,47.84297913812318,15.56688003754102,2
26.436290653838295,77.37978439154199,89.24274956994462,49.181795145554936,74.73489969649401,76.4523735275445,0
28.407493744548578,54.149672806786654,100.68868967121912,73.39323651608751,69.22699344884913,49.72267384214467,1
28.664511902484975,40.4963822427135,91.85920995547079,45.5245039923078,64.45238765771136,71.12074895731871,0
31.152305538170122,53.27733503283744,93.38372177745006,57.30084005466645,108.52971631846023,69.49327790273834,0
25.69049253994834,42.470025760123086,87.9858336714426,32.9136924503374,114.7149627542517,77.87075990528498,0
31.389979510302616,49.97752236532921,86.1466578806155,38.5387066459128,103.73712012006337,69.76157497543714,0
29.03507858129852,53.31269056542926,90.2598745179863,24.140128050263254,75.66288673633662,9.395461930994877,2
29.92964546394391,53.37646153221789,77.17983906864103,43.199636219012405,80.77780852819248,70.52674786571045,0
28.61413330878466,47.87798433235501,94.2198777056589,34.744052832822874,100.87416827958836,24.453577853595128,2
31.63885916137669,33.21175315728171,93.22910677539474,34.8290284378473,93.11121858187495,28.91558172819921,2
31.886027124870722,58.42814333803982,91.8965622148609,80.59614706152684,57.11236610896979,54.12682678716655,1
30.987044101308722,62.83852728143419,91.6437129872228,32.24456405281827,43.467485165659184,14.090752804935589,2
28.43875568001243,46.132511755724884,91.94675707512138,77.4033617103045,68.82716261459551,52.09568366833106,1
28.298181632244127,45.94626102686853,87.85788116549524,41.12601063062432,94.16568984190738,80.50706656769529,0
30.703650833858653,52.28947612554494,86.64436822684956,79.31659211005311,73.01513403216356,52.22797366762815,1
